name,doc,num
i_client_needed_serverquery_view_power,Needed ServerQuery view power,194
b_client_custom_info_view,View custom fields,195
i_client_kick_from_server_power,Client kick power from server,196
i_client_needed_kick_from_server_power,Needed client kick power from server,197
i_client_kick_from_channel_power,Client kick power from channel,198
i_client_needed_kick_from_channel_power,Needed client kick power from channel,199
i_client_ban_power,Client ban power,200
i_client_needed_ban_power,Needed client ban power,201
i_client_move_power,Client move power,202
i_client_needed_move_power,Needed client move power,203
i_client_complain_power,Complain power,204
i_client_needed_complain_power,Needed complain power,205
b_client_complain_list,Show complain list,206
b_client_complain_delete_own,Delete own complains,207
b_client_complain_delete,Delete complains,208
b_client_ban_list,Show banlist,209
b_client_ban_create,Add a ban,210
b_client_ban_delete_own,Delete own bans,211
b_client_ban_delete,Delete bans,212
i_client_ban_max_bantime,Max bantime,213
i_client_private_textmessage_power,Client private message power,214
i_client_needed_private_textmessage_power,Needed client private message power,215
b_client_server_textmessage_send,Send text messages to virtual server,216
b_client_channel_textmessage_send,Send text messages to channel,217
b_client_offline_textmessage_send,Send offline messages to clients,218
i_client_talk_power,Client talk power,219
i_client_needed_talk_power,Needed client talk power,220
i_client_poke_power,Client poke power,221
i_client_needed_poke_power,Needed client poke power,222
b_client_set_flag_talker,Set the talker flag for clients and allow them to speak,223
i_client_whisper_power,Client whisper power,224
i_client_needed_whisper_power,Client needed whisper power,225
b_client_modify_description,Edit a clients description,226
b_client_modify_own_description,Allow client to edit own description,227
b_client_modify_dbproperties,Edit a clients properties in the database,228
b_client_delete_dbproperties,Delete a clients properties in the database,229
b_client_create_modify_serverquery_login,Create or modify own ServerQuery account,230
b_ft_ignore_password,Browse files without channel password,231
b_ft_transfer_list,Retrieve list of running filetransfers,232
i_ft_file_upload_power,File upload power,233
i_ft_needed_file_upload_power,Needed file upload power,234
i_ft_file_download_power,File download power,235
i_ft_needed_file_download_power,Needed file download power,236
i_ft_file_delete_power,File delete power,237
i_ft_needed_file_delete_power,Needed file delete power,238
i_ft_file_rename_power,File rename power,239
i_ft_needed_file_rename_power,Needed file rename power,240
i_ft_file_browse_power,File browse power,241
i_ft_needed_file_browse_power,Needed file browse power,242
i_ft_directory_create_power,Create directory power,243
i_ft_needed_directory_create_power,Needed create directory power,244
i_ft_quota_mb_download_per_client,Download quota per client in MByte,245
i_ft_quota_mb_upload_per_client,Upload quota per client in MByte,246
